"Geneid","GeneName","NewName","GeneType","chr","start","end","strand","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000002587","HS3ST1","ENSG00000002587_HS3ST1","protein_coding","chr4",11393150,11429564,"-",210,171,154,206
"ENSG00000002746","HECW1","ENSG00000002746_HECW1","protein_coding","chr7",43112629,43566001,"+",77,82,51,70
"ENSG00000002822","MAD1L1","ENSG00000002822_MAD1L1","protein_coding","chr7",1815793,2233243,"-",41,47,36,58
"ENSG00000002834","LASP1","ENSG00000002834_LASP1","protein_coding","chr17",38869859,38921770,"+",9789,6899,5611,7074
"ENSG00000002919","SNX11","ENSG00000002919_SNX11","protein_coding","chr17",48103357,48123601,"+",618,470,363,660
"ENSG00000003056","M6PR","ENSG00000003056_M6PR","protein_coding","chr12",8940361,8949761,"-",2994,1817,1798,2769
"ENSG00000003096","KLHL13","ENSG00000003096_KLHL13","protein_coding","chrX",117897813,118117340,"-",453,265,181,307
"ENSG00000003137","CYP26B1","ENSG00000003137_CYP26B1","protein_coding","chr2",72129238,72147862,"-",6,40,23,52
"ENSG00000003147","ICA1","ENSG00000003147_ICA1","protein_coding","chr7",8113184,8262687,"-",78,76,59,59
"ENSG00000003249","DBNDD1","ENSG00000003249_DBNDD1","protein_coding","chr16",90004871,90019890,"-",211,402,142,274
"ENSG00000003393","ALS2","ENSG00000003393_ALS2","protein_coding","chr2",201700267,201782112,"-",1581,1156,986,1677
"ENSG00000003400","CASP10","ENSG00000003400_CASP10","protein_coding","chr2",201182872,201229428,"+",335,297,252,375
"ENSG00000003402","CFLAR","ENSG00000003402_CFLAR","protein_coding","chr2",201116154,201176687,"+",716,641,373,583
"ENSG00000003509","NDUFAF7","ENSG00000003509_NDUFAF7","protein_coding","chr2",37231631,37253403,"+",451,318,227,377
"ENSG00000003756","RBM5","ENSG00000003756_RBM5","protein_coding","chr3",50088919,50119021,"+",2648,1488,1375,1568
"ENSG00000003989","SLC7A2","ENSG00000003989_SLC7A2","protein_coding","chr8",17497088,17570573,"+",291,100,112,122
"ENSG00000004059","ARF5","ENSG00000004059_ARF5","protein_coding","chr7",127588386,127591700,"+",6100,5414,4107,5457
"ENSG00000004139","SARM1","ENSG00000004139_SARM1","protein_coding","chr17",28364356,28404049,"+",539,911,413,868
"ENSG00000004142","POLDIP2","ENSG00000004142_POLDIP2","protein_coding","chr17",28346633,28357527,"-",5547,4148,3129,5167
"ENSG00000004399","PLXND1","ENSG00000004399_PLXND1","protein_coding","chr3",129555214,129606676,"-",1331,1075,860,1433
"ENSG00000004455","AK2","ENSG00000004455_AK2","protein_coding","chr1",33007986,33080996,"-",6381,4235,4308,5452
"ENSG00000004468","CD38","ENSG00000004468_CD38","protein_coding","chr4",15778275,15853232,"+",4,13,13,28
"ENSG00000004478","FKBP4","ENSG00000004478_FKBP4","protein_coding","chr12",2794970,2805423,"+",9070,4014,4814,7904
"ENSG00000004487","KDM1A","ENSG00000004487_KDM1A","protein_coding","chr1",23019443,23083689,"+",5735,4233,3339,4900
"ENSG00000004534","RBM6","ENSG00000004534_RBM6","protein_coding","chr3",49940007,50100045,"+",2494,1453,1604,2139
"ENSG00000004660","CAMKK1","ENSG00000004660_CAMKK1","protein_coding","chr17",3860315,3894891,"-",494,369,262,350
"ENSG00000004700","RECQL","ENSG00000004700_RECQL","protein_coding","chr12",21468910,21501669,"-",1895,1060,1139,1702
"ENSG00000004766","VPS50","ENSG00000004766_VPS50","protein_coding","chr7",93232340,93361123,"+",1056,672,640,842
"ENSG00000004777","ARHGAP33","ENSG00000004777_ARHGAP33","protein_coding","chr19",35774532,35788822,"+",455,150,197,113
"ENSG00000004779","NDUFAB1","ENSG00000004779_NDUFAB1","protein_coding","chr16",23581014,23596316,"-",1922,1252,1314,1923
"ENSG00000004799","PDK4","ENSG00000004799_PDK4","protein_coding","chr7",95583499,95596516,"-",14,40,3,29
"ENSG00000004864","SLC25A13","ENSG00000004864_SLC25A13","protein_coding","chr7",96120220,96322147,"-",1549,672,727,790
"ENSG00000004866","ST7","ENSG00000004866_ST7","protein_coding","chr7",116953238,117230176,"+",1004,765,640,898
"ENSG00000004897","CDC27","ENSG00000004897_CDC27","protein_coding","chr17",47117703,47189422,"-",4330,2127,2061,2325
"ENSG00000004961","HCCS","ENSG00000004961_HCCS","protein_coding","chrX",11111301,11123086,"+",1161,731,623,929
"ENSG00000004975","DVL2","ENSG00000004975_DVL2","protein_coding","chr17",7225342,7234517,"-",2040,2182,1221,2286
"ENSG00000005001","PRSS22","ENSG00000005001_PRSS22","protein_coding","chr16",2852730,2858170,"-",372,651,182,633
"ENSG00000005007","UPF1","ENSG00000005007_UPF1","protein_coding","chr19",18831959,18868230,"+",4827,3735,2927,4408
"ENSG00000005020","SKAP2","ENSG00000005020_SKAP2","protein_coding","chr7",26667068,26995239,"-",576,393,307,401
"ENSG00000005022","SLC25A5","ENSG00000005022_SLC25A5","protein_coding","chrX",119468422,119471396,"+",17925,9537,10947,12826
"ENSG00000005059","MCUB","ENSG00000005059_MCUB","protein_coding","chr4",109560209,109688719,"+",806,269,483,391
"ENSG00000005073","HOXA11","ENSG00000005073_HOXA11","protein_coding","chr7",27181157,27185232,"-",35,22,23,49
"ENSG00000005075","POLR2J","ENSG00000005075_POLR2J","protein_coding","chr7",102473128,102478922,"-",1413,755,758,791
"ENSG00000005100","DHX33","ENSG00000005100_DHX33","protein_coding","chr17",5440917,5468982,"-",2611,1140,1306,1716
"ENSG00000005102","MEOX1","ENSG00000005102_MEOX1","protein_coding","chr17",43640389,43661922,"-",46,45,32,57
"ENSG00000005156","LIG3","ENSG00000005156_LIG3","protein_coding","chr17",34980512,35009743,"+",1760,874,990,1170
"ENSG00000005175","RPAP3","ENSG00000005175_RPAP3","protein_coding","chr12",47661249,47706030,"-",1720,972,947,1320
"ENSG00000005187","ACSM3","ENSG00000005187_ACSM3","protein_coding","chr16",20610243,20797581,"+",139,42,61,86
"ENSG00000005189","REXO5","ENSG00000005189_REXO5","protein_coding","chr16",20806429,20849665,"+",130,50,66,65
"ENSG00000005194","CIAPIN1","ENSG00000005194_CIAPIN1","protein_coding","chr16",57428187,57447420,"-",3021,1979,1850,2511
"ENSG00000005206","SPPL2B","ENSG00000005206_SPPL2B","protein_coding","chr19",2328615,2355095,"+",884,743,502,394
"ENSG00000005238","ATOSB","ENSG00000005238_ATOSB","protein_coding","chr9",35104112,35116341,"-",368,671,540,1080
"ENSG00000005243","COPZ2","ENSG00000005243_COPZ2","protein_coding","chr17",48026167,48038030,"-",120,308,107,332
"ENSG00000005249","PRKAR2B","ENSG00000005249_PRKAR2B","protein_coding","chr7",107044705,107161811,"+",40,33,19,42
"ENSG00000005302","MSL3","ENSG00000005302_MSL3","protein_coding","chrX",11758159,11775772,"+",1011,541,566,854
"ENSG00000005339","CREBBP","ENSG00000005339_CREBBP","protein_coding","chr16",3725054,3880713,"-",3383,1913,1685,2995
"ENSG00000005379","TSPOAP1","ENSG00000005379_TSPOAP1","protein_coding","chr17",58301228,58328795,"-",311,622,237,552
"ENSG00000005381","MPO","ENSG00000005381_MPO","protein_coding","chr17",58269855,58280935,"-",84,26,66,90
"ENSG00000005436","GCFC2","ENSG00000005436_GCFC2","protein_coding","chr2",75652000,75710985,"-",788,275,323,269
"ENSG00000005448","WDR54","ENSG00000005448_WDR54","protein_coding","chr2",74421678,74425755,"+",686,683,538,718
"ENSG00000005469","CROT","ENSG00000005469_CROT","protein_coding","chr7",87345664,87399794,"+",1961,1576,729,1032
"ENSG00000005483","KMT2E","ENSG00000005483_KMT2E","protein_coding","chr7",104940943,105115019,"+",1939,1055,903,1041
"ENSG00000005486","RHBDD2","ENSG00000005486_RHBDD2","protein_coding","chr7",75842602,75888926,"+",2427,3344,1765,3498
"ENSG00000005700","IBTK","ENSG00000005700_IBTK","protein_coding","chr6",82169986,82247754,"-",1658,1291,1494,1595
"ENSG00000005801","ZNF195","ENSG00000005801_ZNF195","protein_coding","chr11",3339261,3379222,"-",542,306,316,388
"ENSG00000005810","MYCBP2","ENSG00000005810_MYCBP2","protein_coding","chr13",77042474,77327094,"-",3056,1617,1412,2662
"ENSG00000005812","FBXL3","ENSG00000005812_FBXL3","protein_coding","chr13",76992598,77027195,"-",1186,676,564,932
"ENSG00000005882","PDK2","ENSG00000005882_PDK2","protein_coding","chr17",50094737,50112152,"+",609,707,359,586
"ENSG00000005884","ITGA3","ENSG00000005884_ITGA3","protein_coding","chr17",50055968,50090481,"+",17232,11259,13574,13405
"ENSG00000005889","ZFX","ENSG00000005889_ZFX","protein_coding","chrX",24149173,24216255,"+",1276,621,551,791
"ENSG00000005893","LAMP2","ENSG00000005893_LAMP2","protein_coding","chrX",120426148,120469365,"-",3738,2788,2043,2951
"ENSG00000005961","ITGA2B","ENSG00000005961_ITGA2B","protein_coding","chr17",44372180,44389649,"-",57,38,29,23
"ENSG00000006007","GDE1","ENSG00000006007_GDE1","protein_coding","chr16",19501693,19522123,"-",3176,2749,1529,3024
"ENSG00000006015","REX1BD","ENSG00000006015_REX1BD","protein_coding","chr19",18588685,18592337,"+",264,265,204,159
"ENSG00000006016","CRLF1","ENSG00000006016_CRLF1","protein_coding","chr19",18572220,18607741,"-",248,339,213,334
"ENSG00000006025","OSBPL7","ENSG00000006025_OSBPL7","protein_coding","chr17",47807372,47821803,"-",471,543,411,519
"ENSG00000006042","TMEM98","ENSG00000006042_TMEM98","protein_coding","chr17",32927910,32945106,"+",613,409,395,473
"ENSG00000006047","YBX2","ENSG00000006047_YBX2","protein_coding","chr17",7288263,7294639,"-",198,214,93,219
"ENSG00000006062","MAP3K14","ENSG00000006062_MAP3K14","protein_coding","chr17",45263119,45317029,"-",667,446,374,347
"ENSG00000006118","TMEM132A","ENSG00000006118_TMEM132A","protein_coding","chr11",60924460,60937159,"+",1831,2249,1114,1901
"ENSG00000006125","AP2B1","ENSG00000006125_AP2B1","protein_coding","chr17",35578046,35726413,"+",15082,10409,8088,14370
"ENSG00000006194","ZNF263","ENSG00000006194_ZNF263","protein_coding","chr16",3283283,3301401,"+",1371,1085,908,1560
"ENSG00000006210","CX3CL1","ENSG00000006210_CX3CL1","protein_coding","chr16",57372477,57385044,"+",26,35,3,24
"ENSG00000006282","SPATA20","ENSG00000006282_SPATA20","protein_coding","chr17",50543058,50555852,"+",1641,2565,1129,1880
"ENSG00000006327","TNFRSF12A","ENSG00000006327_TNFRSF12A","protein_coding","chr16",3018445,3022383,"+",4189,3101,3515,4027
"ENSG00000006432","MAP3K9","ENSG00000006432_MAP3K9","protein_coding","chr14",70722526,70809534,"-",797,702,426,1258
"ENSG00000006451","RALA","ENSG00000006451_RALA","protein_coding","chr7",39623565,39708120,"+",3158,2126,1741,2638
"ENSG00000006453","BAIAP2L1","ENSG00000006453_BAIAP2L1","protein_coding","chr7",98291650,98401090,"-",2191,1940,1488,2223
"ENSG00000006459","KDM7A","ENSG00000006459_KDM7A","protein_coding","chr7",140084746,140176983,"-",214,203,205,480
"ENSG00000006468","ETV1","ENSG00000006468_ETV1","protein_coding","chr7",13891229,13991425,"-",647,161,425,502
"ENSG00000006530","AGK","ENSG00000006530_AGK","protein_coding","chr7",141551278,141655244,"+",1524,1131,1161,1438
"ENSG00000006534","ALDH3B1","ENSG00000006534_ALDH3B1","protein_coding","chr11",68008578,68029282,"+",202,755,147,385
"ENSG00000006555","TTC22","ENSG00000006555_TTC22","protein_coding","chr1",54779712,54801323,"-",450,530,252,483
"ENSG00000006576","PHTF2","ENSG00000006576_PHTF2","protein_coding","chr7",77798773,77957503,"+",1974,790,854,1028
"ENSG00000006607","FARP2","ENSG00000006607_FARP2","protein_coding","chr2",241356285,241494841,"+",1878,1041,878,1315
"ENSG00000006625","GGCT","ENSG00000006625_GGCT","protein_coding","chr7",30496621,30504841,"-",2211,1019,1054,1330
"ENSG00000006634","DBF4","ENSG00000006634_DBF4","protein_coding","chr7",87876216,87909553,"+",3168,632,1189,822
"ENSG00000006638","TBXA2R","ENSG00000006638_TBXA2R","protein_coding","chr19",3594507,3606875,"-",76,65,51,42
"ENSG00000006652","IFRD1","ENSG00000006652_IFRD1","protein_coding","chr7",112422887,112481017,"+",1151,1027,870,1475
"ENSG00000006695","COX10","ENSG00000006695_COX10","protein_coding","chr17",14069490,14231736,"+",763,516,452,756
"ENSG00000006704","GTF2IRD1","ENSG00000006704_GTF2IRD1","protein_coding","chr7",74453790,74602605,"+",1953,1907,1374,1807
"ENSG00000006712","PAF1","ENSG00000006712_PAF1","protein_coding","chr19",39385629,39391154,"-",2604,1415,1598,2075
"ENSG00000006715","VPS41","ENSG00000006715_VPS41","protein_coding","chr7",38722974,38932394,"-",1663,1266,839,1369
"ENSG00000006740","ARHGAP44","ENSG00000006740_ARHGAP44","protein_coding","chr17",12789498,12991643,"+",188,174,120,228
"ENSG00000006744","ELAC2","ENSG00000006744_ELAC2","protein_coding","chr17",12991612,13018065,"-",5179,2873,2984,3487
"ENSG00000006756","ARSD","ENSG00000006756_ARSD","protein_coding","chrX",2903972,2929349,"-",489,495,316,467
"ENSG00000006757","PNPLA4","ENSG00000006757_PNPLA4","protein_coding","chrX",7898247,7927739,"-",1077,1426,656,1209
"ENSG00000006831","ADIPOR2","ENSG00000006831_ADIPOR2","protein_coding","chr12",1688574,1788674,"+",4878,3089,3200,4061
"ENSG00000007038","PRSS21","ENSG00000007038_PRSS21","protein_coding","chr16",2817180,2826304,"+",1353,1134,719,1049
"ENSG00000007047","MARK4","ENSG00000007047_MARK4","protein_coding","chr19",45079288,45305284,"+",1384,1517,930,1104
"ENSG00000007080","CCDC124","ENSG00000007080_CCDC124","protein_coding","chr19",17933015,17943991,"+",1945,1932,1715,1874
"ENSG00000007168","PAFAH1B1","ENSG00000007168_PAFAH1B1","protein_coding","chr17",2593183,2685615,"+",6387,4262,3327,5016
"ENSG00000007202","BLTP2","ENSG00000007202_BLTP2","protein_coding","chr17",28614446,28645454,"-",9863,5589,5018,8721
"ENSG00000007237","GAS7","ENSG00000007237_GAS7","protein_coding","chr17",9910606,10198606,"-",43,48,30,131
"ENSG00000007255","TRAPPC6A","ENSG00000007255_TRAPPC6A","protein_coding","chr19",45162928,45178237,"-",226,468,167,339
"ENSG00000007264","MATK","ENSG00000007264_MATK","protein_coding","chr19",3777970,3802129,"-",178,132,122,161
"ENSG00000007341","ST7L","ENSG00000007341_ST7L","protein_coding","chr1",112523514,112620825,"-",334,194,179,281
"ENSG00000007372","PAX6","ENSG00000007372_PAX6","protein_coding","chr11",31784779,31817961,"-",70,37,50,43
"ENSG00000007376","RPUSD1","ENSG00000007376_RPUSD1","protein_coding","chr16",784974,788397,"-",1509,1104,827,667
"ENSG00000007384","RHBDF1","ENSG00000007384_RHBDF1","protein_coding","chr16",58059,76355,"-",1248,1318,1047,1182
"ENSG00000007392","LUC7L","ENSG00000007392_LUC7L","protein_coding","chr16",188969,229463,"-",1167,863,813,808
"ENSG00000007516","BAIAP3","ENSG00000007516_BAIAP3","protein_coding","chr16",1333638,1349439,"+",52,349,60,327
"ENSG00000007520","TSR3","ENSG00000007520_TSR3","protein_coding","chr16",1349240,1351878,"-",1436,1042,972,860
"ENSG00000007541","PIGQ","ENSG00000007541_PIGQ","protein_coding","chr16",566995,584109,"+",875,479,417,174
"ENSG00000007545","CRAMP1","ENSG00000007545_CRAMP1","protein_coding","chr16",1612337,1677908,"+",532,384,334,437
"ENSG00000007866","TEAD3","ENSG00000007866_TEAD3","protein_coding","chr6",35473597,35497079,"-",2922,2741,1678,3063
"ENSG00000007923","DNAJC11","ENSG00000007923_DNAJC11","protein_coding","chr1",6634168,6701924,"-",2971,1838,1764,1705
"ENSG00000007944","MYLIP","ENSG00000007944_MYLIP","protein_coding","chr6",16129086,16148248,"+",899,551,387,570
"ENSG00000007968","E2F2","ENSG00000007968_E2F2","protein_coding","chr1",23506438,23531233,"-",433,133,125,131
"ENSG00000008018","PSMB1","ENSG00000008018_PSMB1","protein_coding","chr6",170535120,170553307,"-",5162,3576,3478,4320
"ENSG00000008083","JARID2","ENSG00000008083_JARID2","protein_coding","chr6",15246069,15522042,"+",1581,1322,842,1486
"ENSG00000008086","CDKL5","ENSG00000008086_CDKL5","protein_coding","chrX",18425583,18653629,"+",129,99,92,98
"ENSG00000008128","CDK11A","ENSG00000008128_CDK11A","protein_coding","chr1",1702379,1724357,"-",60,26,25,34
"ENSG00000008130","NADK","ENSG00000008130_NADK","protein_coding","chr1",1751232,1780457,"-",2027,1450,1250,1431
"ENSG00000008256","CYTH3","ENSG00000008256_CYTH3","protein_coding","chr7",6161779,6272644,"-",2235,2802,1366,2883
"ENSG00000008277","ADAM22","ENSG00000008277_ADAM22","protein_coding","chr7",87934143,88202889,"+",37,50,23,77
"ENSG00000008282","SYPL1","ENSG00000008282_SYPL1","protein_coding","chr7",106090505,106112589,"-",4166,2401,1993,2593
"ENSG00000008283","CYB561","ENSG00000008283_CYB561","protein_coding","chr17",63432304,63446354,"-",2364,1951,2131,2608
"ENSG00000008294","SPAG9","ENSG00000008294_SPAG9","protein_coding","chr17",50962174,51120868,"-",3697,2062,2098,3027
"ENSG00000008300","CELSR3","ENSG00000008300_CELSR3","protein_coding","chr3",48636463,48662886,"-",1032,1041,619,1094
"ENSG00000008311","AASS","ENSG00000008311_AASS","protein_coding","chr7",122064583,122144308,"-",292,224,267,364
"ENSG00000008323","PLEKHG6","ENSG00000008323_PLEKHG6","protein_coding","chr12",6310436,6328506,"+",17,59,5,41
"ENSG00000008324","SS18L2","ENSG00000008324_SS18L2","protein_coding","chr3",42581840,42596934,"+",622,358,451,532
"ENSG00000008382","MPND","ENSG00000008382_MPND","protein_coding","chr19",4343527,4360086,"+",430,352,266,347
"ENSG00000008405","CRY1","ENSG00000008405_CRY1","protein_coding","chr12",106991364,107093549,"-",715,543,692,1258
"ENSG00000008441","NFIX","ENSG00000008441_NFIX","protein_coding","chr19",12995475,13098796,"+",1538,1077,742,1048
"ENSG00000008513","ST3GAL1","ENSG00000008513_ST3GAL1","protein_coding","chr8",133454848,133571926,"-",514,185,338,400
"ENSG00000008516","MMP25","ENSG00000008516_MMP25","protein_coding","chr16",3046062,3060726,"+",47,151,53,168
"ENSG00000008517","IL32","ENSG00000008517_IL32","protein_coding","chr16",3065297,3082192,"+",12,73,17,36
"ENSG00000008710","PKD1","ENSG00000008710_PKD1","protein_coding","chr16",2088708,2135898,"-",1580,1418,941,811
"ENSG00000008735","MAPK8IP2","ENSG00000008735_MAPK8IP2","protein_coding","chr22",50600793,50613981,"+",249,375,155,307
"ENSG00000008838","MED24","ENSG00000008838_MED24","protein_coding","chr17",40019097,40061215,"-",3582,2729,2189,3008
"ENSG00000008853","RHOBTB2","ENSG00000008853_RHOBTB2","protein_coding","chr8",22987417,23020509,"+",1683,1544,1050,1530
"ENSG00000008869","HEATR5B","ENSG00000008869_HEATR5B","protein_coding","chr2",36968383,37084372,"-",906,407,431,412
"ENSG00000008952","SEC62","ENSG00000008952_SEC62","protein_coding","chr3",169966635,169998373,"+",2881,2039,1644,2470
"ENSG00000008988","RPS20","ENSG00000008988_RPS20","protein_coding","chr8",56067254,56074510,"-",24853,15053,18596,16016
"ENSG00000009307","CSDE1","ENSG00000009307_CSDE1","protein_coding","chr1",114716913,114758676,"-",21890,10265,11915,11198
"ENSG00000009335","UBE3C","ENSG00000009335_UBE3C","protein_coding","chr7",157138926,157269370,"+",8673,5876,4736,7284
"ENSG00000009413","REV3L","ENSG00000009413_REV3L","protein_coding","chr6",111299028,111483715,"-",852,353,395,488
"ENSG00000009780","FAM76A","ENSG00000009780_FAM76A","protein_coding","chr1",27725961,27763116,"+",372,306,205,268
"ENSG00000009830","POMT2","ENSG00000009830_POMT2","protein_coding","chr14",77274956,77320883,"-",582,443,344,418
"ENSG00000009844","VTA1","ENSG00000009844_VTA1","protein_coding","chr6",142147162,142224685,"+",1720,1165,1026,1399
"ENSG00000009950","MLXIPL","ENSG00000009950_MLXIPL","protein_coding","chr7",73593194,73624543,"-",224,510,247,396
"ENSG00000009954","BAZ1B","ENSG00000009954_BAZ1B","protein_coding","chr7",73440406,73522293,"-",9336,5212,4954,7897
"ENSG00000010017","RANBP9","ENSG00000010017_RANBP9","protein_coding","chr6",13621498,13711835,"-",1850,1313,1146,1867
"ENSG00000010030","ETV7","ENSG00000010030_ETV7","protein_coding","chr6",36354091,36387800,"-",61,138,22,91
"ENSG00000010072","SPRTN","ENSG00000010072_SPRTN","protein_coding","chr1",231337104,231355023,"+",498,257,209,290
"ENSG00000010165","METTL13","ENSG00000010165_METTL13","protein_coding","chr1",171781660,171814023,"+",1610,790,927,1370
"ENSG00000010219","DYRK4","ENSG00000010219_DYRK4","protein_coding","chr12",4562208,4615302,"+",519,455,465,594
"ENSG00000010244","ZNF207","ENSG00000010244_ZNF207","protein_coding","chr17",32350132,32381885,"+",6032,3278,3190,3618
"ENSG00000010256","UQCRC1","ENSG00000010256_UQCRC1","protein_coding","chr3",48599002,48610976,"-",9586,9387,6736,9643
"ENSG00000010270","STARD3NL","ENSG00000010270_STARD3NL","protein_coding","chr7",38178245,38230670,"+",1333,788,681,972
"ENSG00000010278","CD9","ENSG00000010278_CD9","protein_coding","chr12",6199715,6238271,"+",5171,6738,3341,6678
"ENSG00000010292","NCAPD2","ENSG00000010292_NCAPD2","protein_coding","chr12",6493356,6531955,"+",14842,3372,5678,5366
"ENSG00000010295","IFFO1","ENSG00000010295_IFFO1","protein_coding","chr12",6538961,6556073,"-",37,60,55,58
"ENSG00000010310","GIPR","ENSG00000010310_GIPR","protein_coding","chr19",45668221,45683722,"+",38,70,38,64
"ENSG00000010318","PHF7","ENSG00000010318_PHF7","protein_coding","chr3",52410660,52423641,"+",156,109,60,124
"ENSG00000010319","SEMA3G","ENSG00000010319_SEMA3G","protein_coding","chr3",52433035,52445103,"-",13,21,5,48
"ENSG00000010322","NISCH","ENSG00000010322_NISCH","protein_coding","chr3",52455118,52493068,"+",2257,1707,1216,1500
"ENSG00000010327","STAB1","ENSG00000010327_STAB1","protein_coding","chr3",52495338,52524495,"+",1,43,5,38
"ENSG00000010361","FUZ","ENSG00000010361_FUZ","protein_coding","chr19",49806866,49817376,"-",384,387,188,303
"ENSG00000010404","IDS","ENSG00000010404_IDS","protein_coding","chrX",149476988,149521096,"-",200,167,128,240
"ENSG00000010539","ZNF200","ENSG00000010539_ZNF200","protein_coding","chr16",3222325,3236221,"-",485,376,303,506
"ENSG00000010626","LRRC23","ENSG00000010626_LRRC23","protein_coding","chr12",6873569,6914241,"+",119,160,71,161
"ENSG00000010704","HFE","ENSG00000010704_HFE","protein_coding","chr6",26087226,26098343,"+",989,591,416,467
"ENSG00000010803","SCMH1","ENSG00000010803_SCMH1","protein_coding","chr1",41027202,41242306,"-",743,519,424,433
"ENSG00000010810","FYN","ENSG00000010810_FYN","protein_coding","chr6",111660332,111873452,"-",276,189,201,289
"ENSG00000010818","HIVEP2","ENSG00000010818_HIVEP2","protein_coding","chr6",142751469,142956698,"-",857,843,469,946
"ENSG00000011007","ELOA","ENSG00000011007_ELOA","protein_coding","chr1",23743448,23762059,"+",3788,1778,1903,2758
"ENSG00000011009","LYPLA2","ENSG00000011009_LYPLA2","protein_coding","chr1",23791110,23795539,"+",3481,2919,2375,3331
"ENSG00000011021","CLCN6","ENSG00000011021_CLCN6","protein_coding","chr1",11806096,11848079,"+",872,875,685,919
"ENSG00000011028","MRC2","ENSG00000011028_MRC2","protein_coding","chr17",62627670,62693597,"+",144,405,126,333
"ENSG00000011105","TSPAN9","ENSG00000011105_TSPAN9","protein_coding","chr12",3077355,3286564,"+",1838,2556,1229,2164
"ENSG00000011114","BTBD7","ENSG00000011114_BTBD7","protein_coding","chr14",93237550,93333092,"-",1424,762,782,1007
"ENSG00000011132","APBA3","ENSG00000011132_APBA3","protein_coding","chr19",3750772,3761692,"-",461,465,274,342
"ENSG00000011143","MKS1","ENSG00000011143_MKS1","protein_coding","chr17",58205441,58219605,"-",556,491,355,470
"ENSG00000011198","ABHD5","ENSG00000011198_ABHD5","protein_coding","chr3",43690108,43734371,"+",1041,809,766,1169
"ENSG00000011243","AKAP8L","ENSG00000011243_AKAP8L","protein_coding","chr19",15380050,15419141,"-",2055,2145,1674,2685
"ENSG00000011258","MBTD1","ENSG00000011258_MBTD1","protein_coding","chr17",51177425,51260163,"-",431,241,199,338
"ENSG00000011260","UTP18","ENSG00000011260_UTP18","protein_coding","chr17",51260546,51297936,"+",2235,1179,1275,1804
"ENSG00000011275","RNF216","ENSG00000011275_RNF216","protein_coding","chr7",5620047,5781696,"-",2811,2450,1821,2618
"ENSG00000011295","TTC19","ENSG00000011295_TTC19","protein_coding","chr17",15999784,16045015,"+",1477,1330,1094,1700
"ENSG00000011304","PTBP1","ENSG00000011304_PTBP1","protein_coding","chr19",797075,812327,"+",13692,6612,9459,8573
"ENSG00000011332","DPF1","ENSG00000011332_DPF1","protein_coding","chr19",38211006,38229714,"-",76,99,71,126
"ENSG00000011347","SYT7","ENSG00000011347_SYT7","protein_coding","chr11",61513714,61581148,"-",277,634,173,795
"ENSG00000011376","LARS2","ENSG00000011376_LARS2","protein_coding","chr3",45388561,45554726,"+",1692,1266,955,1671
